RAPORT Z EGZAMINU WSTEPNEGO
========================================================================================
| POZ  |  ID  | MATURA | TEORIA | PRAKT. | SUMA(T+P) | STATUS                      |
========================================================================================
| #001 | 0250 | TAK |   87%  |   78%  |  165 | PRZYJĘTY         |
| #002 | 0233 | TAK |   94%  |   68%  |  162 | PRZYJĘTY         |
| #003 | 0520 | TAK |   85%  |   73%  |  158 | PRZYJĘTY         |
| #004 | 0153 | TAK |   91%  |   64%  |  155 | PRZYJĘTY         |
| #005 | 0649 | TAK |   87%  |   68%  |  155 | PRZYJĘTY         |
| #006 | 0370 | TAK |   77%  |   77%  |  154 | PRZYJĘTY         |
| #007 | 0850 | TAK |   89%  |   64%  |  153 | PRZYJĘTY         |
| #008 | 0418 | TAK |   73%  |   79%  |  152 | PRZYJĘTY         |
| #009 | 0456 | TAK |   59%  |   93%  |  152 | PRZYJĘTY         |
| #010 | 0780 | TAK |   76%  |   76%  |  152 | PRZYJĘTY         |
| #011 | 0518 | TAK |   82%  |   68%  |  150 | PRZYJĘTY         |
| #012 | 0468 | TAK |   58%  |   91%  |  149 | PRZYJĘTY         |
| #013 | 0427 | TAK |   75%  |   73%  |  148 | PRZYJĘTY         |
| #014 | 0500 | TAK |   53%  |   95%  |  148 | PRZYJĘTY         |
| #015 | 0143 | TAK |   60%  |   87%  |  147 | PRZYJĘTY         |
| #016 | 1140 | TAK |   77%  |   70%  |  147 | PRZYJĘTY         |
| #017 | 0008 | TAK |   56%  |   90%  |  146 | PRZYJĘTY         |
| #018 | 1010 | TAK |   71%  |   74%  |  145 | PRZYJĘTY         |
| #019 | 1141 | TAK |   81%  |   64%  |  145 | PRZYJĘTY         |
| #020 | 1157 | TAK |   72%  |   73%  |  145 | PRZYJĘTY         |
| #021 | 0021 | TAK |   56%  |   88%  |  144 | PRZYJĘTY         |
| #022 | 0960 | TAK |   74%  |   70%  |  144 | PRZYJĘTY         |
| #023 | 0017 | TAK |   58%  |   85%  |  143 | PRZYJĘTY         |
| #024 | 0257 | TAK |   59%  |   84%  |  143 | PRZYJĘTY         |
| #025 | 0308 | TAK |   48%  |   95%  |  143 | PRZYJĘTY         |
| #026 | 0336 | TAK |   59%  |   84%  |  143 | PRZYJĘTY         |
| #027 | 0763 | TAK |   71%  |   72%  |  143 | PRZYJĘTY         |
